regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,status,page
2025_GWNC,2025-09-06-R12,2025-09-06,10:42 AM,12,MIXED 500M QUALIFYING,Qualifying,500,3,,Water Vipers Performance 1X,67,4,02:20.8,,2
2025_GWNC,2025-09-06-R12,2025-09-06,10:42 AM,12,MIXED 500M QUALIFYING,Qualifying,500,4,,Smoke on the Water,1,3,02:20.4,,2
2025_GWNC,2025-09-06-R12,2025-09-06,10:42 AM,12,MIXED 500M QUALIFYING,Qualifying,500,5,,Will Paddle for Food,25,6,02:41.7,,2
2025_GWNC,2025-09-06-R12,2025-09-06,10:42 AM,12,MIXED 500M QUALIFYING,Qualifying,500,6,,York Dragons,65,5,02:25.3,,2
2025_GWNC,2025-09-06-R13,2025-09-06,10:54 AM,13,MIXED 500M QUALIFYING,Qualifying,500,2,,Mojos,23,2,02:14.0,,2
2025_GWNC,2025-09-06-R13,2025-09-06,10:54 AM,13,MIXED 500M QUALIFYING,Qualifying,500,3,,Shockwave DBC,14,1,02:05.4,,2
2025_GWNC,2025-09-06-R13,2025-09-06,10:54 AM,13,MIXED 500M QUALIFYING,Qualifying,500,4,,Wilcox Warriors,47,5,03:00.4,,2
2025_GWNC,2025-09-06-R13,2025-09-06,10:54 AM,13,MIXED 500M QUALIFYING,Qualifying,500,5,,Windburn Race Crew,34,3,02:26.7,,2
2025_GWNC,2025-09-06-R13,2025-09-06,10:54 AM,13,MIXED 500M QUALIFYING,Qualifying,500,6,,Wild Chicks,31,4,02:44.3,,2
2025_GWNC,2025-09-06-R14,2025-09-06,11:06 AM,14,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,2,,DEBRA Canada Powered by Urgo Medical (DS),58,3,02:49.1,,2
2025_GWNC,2025-09-06-R14,2025-09-06,11:06 AM,14,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,3,,Rusty Dragons - City of Toronto,68,1,02:32.6,,2
2025_GWNC,2025-09-06-R14,2025-09-06,11:06 AM,14,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,4,,Sunnyside Paddling Club - LTP+ Thunder,83,2,02:33.2,,2
2025_GWNC,2025-09-06-R14,2025-09-06,11:06 AM,14,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,5,,Draggin’ it Together (S),82,4,03:04.6,,2
2025_GWNC,2025-09-06-R15,2025-09-06,11:18 AM,15,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,3,,Sunnyside Paddling Club - Wild Wednesdays,66,1,02:40.3,,3
2025_GWNC,2025-09-06-R15,2025-09-06,11:18 AM,15,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,4,,Sunnyside Paddling Club - Sunniest of Saturdays,5,2,02:51.1,,3
2025_GWNC,2025-09-06-R15,2025-09-06,11:18 AM,15,1 DAY MIXED 500M QUALIFYING RACE #2,Qualifying,500,5,,DEBRA Canada Powered by Graphic i.d. (DS),59,3,02:59.0,,3
2025_GWNC,2025-09-06-R16,2025-09-06,11:30 AM,16,BCP 500M RACE #2,Qualifying,500,2,,Dragons Abreast,2,2,02:43.2,,3
2025_GWNC,2025-09-06-R16,2025-09-06,11:30 AM,16,BCP 500M RACE #2,Qualifying,500,3,,KNOT A BREAST,28,1,02:37.0,,3
2025_GWNC,2025-09-06-R16,2025-09-06,11:30 AM,16,BCP 500M RACE #2,Qualifying,500,4,,Pink Crusaders,16,5,03:02.0,,3
2025_GWNC,2025-09-06-R16,2025-09-06,11:30 AM,16,BCP 500M RACE #2,Qualifying,500,5,,Barrie’s Ribbons of Hope,8,4,02:53.8,,3
2025_GWNC,2025-09-06-R16,2025-09-06,11:30 AM,16,BCP 500M RACE #2,Qualifying,500,6,,Dragonflyers,24,3,02:49.5,,3
2025_GWNC,2025-09-06-R17,2025-09-06,12:18 PM,17,PROFESSIONAL SERVICES CUP,Final,500,2,PS,Boat Daddy,64,3,02:39.4,,3
2025_GWNC,2025-09-06-R17,2025-09-06,12:18 PM,17,PROFESSIONAL SERVICES CUP,Final,500,3,PS,PwC Cruisers,33,2,02:38.8,,3
2025_GWNC,2025-09-06-R17,2025-09-06,12:18 PM,17,PROFESSIONAL SERVICES CUP,Final,500,4,PS,Toronto Wyvern Club,7,1,02:24.4,,3
2025_GWNC,2025-09-06-R17,2025-09-06,12:18 PM,17,PROFESSIONAL SERVICES CUP,Final,500,5,PS,KPMG Blue Steel,32,4,02:41.7,,3
2025_GWNC,2025-09-06-R18,2025-09-06,12:30 PM,18,HEALTH CARE CUP/EDUCATION PUBLIC SERVICES CUP,Final,500,2,HC,Bridgepoint Blazing Paddles,51,1,02:35.0,,3
2025_GWNC,2025-09-06-R18,2025-09-06,12:30 PM,18,HEALTH CARE CUP/EDUCATION PUBLIC SERVICES CUP,Final,500,3,HC,Team Transplant,37,3,02:44.2,,3
2025_GWNC,2025-09-06-R18,2025-09-06,12:30 PM,18,HEALTH CARE CUP/EDUCATION PUBLIC SERVICES CUP,Final,500,4,HC,Holland Bloorview Infinite Waves,55,2,02:43.2,,3
2025_GWNC,2025-09-06-R18,2025-09-06,12:30 PM,18,HEALTH CARE CUP/EDUCATION PUBLIC SERVICES CUP,Final,500,5,EPS,JETAA Fighting Carps,6,1,02:36.3,,3
2025_GWNC,2025-09-06-R18,2025-09-06,12:30 PM,18,HEALTH CARE CUP/EDUCATION PUBLIC SERVICES CUP,Final,500,6,EPS,OPS Uncivil Dragons,46,2,02:42.0,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:30 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,1,NP,CSA Beyond 100,71,3,02:47.2,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:42 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,2,NP,TOHK Chili,10,2,02:24.4,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:42 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,3,NP,TOHK Garlic,9,1,02:24.1,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:42 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,4,FS,CAATsters Team 1 (S),52,3,03:21.1,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:42 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,5,FS,CAATsters Team 2 (S),53,2,03:13.3,,3
2025_GWNC,2025-09-06-R19,2025-09-06,12:42 PM,19,NOT-FOR-PROFIT CUP/FINANCIAL SERVICES CUP,Final,500,6,FS,MOFOS,39,1,02:22.7,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:42 PM,20,SD HEALTH & FITNESS CUP,Final,500,1,HF6,Dragon Babies,79,6,03:14.3,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:54 PM,20,SD HEALTH & FITNESS CUP,Final,500,2,HF5,Blueberry JAM,72,5,03:05.6,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:54 PM,20,SD HEALTH & FITNESS CUP,Final,500,3,HF3,Rowbots,76,4,02:58.9,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:54 PM,20,SD HEALTH & FITNESS CUP,Final,500,4,HF1,Water Vipers Masters powered by Afterburn Fitness,3,1,02:22.1,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:54 PM,20,SD HEALTH & FITNESS CUP,Final,500,5,HF2,Toronto Running Club ( TRC ),42,2,02:43.0,,3
2025_GWNC,2025-09-06-R20,2025-09-06,12:54 PM,20,SD HEALTH & FITNESS CUP,Final,500,6,HF4,Serious Contenders,73,3,02:58.2,,3
2025_GWNC,2025-09-06-R21,2025-09-06,1:06 PM,21,TIM HORTONS BIG BUSINESS CUP,Final,500,2,BB,Bell Blue Dragons,29,1,02:25.3,,3
2025_GWNC,2025-09-06-R21,2025-09-06,1:06 PM,21,TIM HORTONS BIG BUSINESS CUP,Final,500,3,BB,Double Double Dragons,70,4,03:01.7,,3
2025_GWNC,2025-09-06-R21,2025-09-06,1:06 PM,21,TIM HORTONS BIG BUSINESS CUP,Final,500,4,BB,Google Canada Dragons,30,2,02:46.6,,3
2025_GWNC,2025-09-06-R21,2025-09-06,1:06 PM,21,TIM HORTONS BIG BUSINESS CUP,Final,500,5,BB,Will Paddle for Food,25,3,02:50.3,,3
2025_GWNC,2025-09-06-R22,2025-09-06,1:18 PM,22,WOMEN'S 500M QUALIFYING,Qualifying,500,2,,Wild Chicks,31,5,03:00.5,,4
2025_GWNC,2025-09-06-R22,2025-09-06,1:18 PM,22,WOMEN'S 500M QUALIFYING,Qualifying,500,3,,GoPink!DC,27,2,02:48.3,,4
2025_GWNC,2025-09-06-R22,2025-09-06,1:18 PM,22,WOMEN'S 500M QUALIFYING,Qualifying,500,4,,Hail Marys,36,1,02:48.2,,4
2025_GWNC,2025-09-06-R22,2025-09-06,1:18 PM,22,WOMEN'S 500M QUALIFYING,Qualifying,500,5,,Holland Bloorview Infinite Waves,55,3,02:49.3,,4
2025_GWNC,2025-09-06-R22,2025-09-06,1:18 PM,22,WOMEN'S 500M QUALIFYING,Qualifying,500,6,,Northern Spirit (S),38,4,02:52.4,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:18 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,1,,True North Leviathan Purple,22,1,02:28.7,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:30 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,2,,Tribal Wahine,61,5,02:51.1,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:30 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,3,,Water Vipettes,86,4,02:36.0,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:30 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,4,,Nai'a,40,2,02:29.9,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:30 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,5,,SheJahMin,80,3,02:35.2,,4
2025_GWNC,2025-09-06-R23,2025-09-06,1:30 PM,23,WOMEN'S 500M QUALIFYING,Qualifying,500,6,,The Boulevard Blazers',13,6,02:57.5,,4
2025_GWNC,2025-09-06-R24,2025-09-06,1:42 PM,24,OPEN 500M QUALIFYING,Qualifying,500,2,,True North Manatees,84,2,02:11.3,,4
2025_GWNC,2025-09-06-R24,2025-09-06,1:42 PM,24,OPEN 500M QUALIFYING,Qualifying,500,3,,WeJahMin,81,4,02:16.8,,4
2025_GWNC,2025-09-06-R24,2025-09-06,1:42 PM,24,OPEN 500M QUALIFYING,Qualifying,500,4,,Water Vipers Asian Seamen est. 2015,85,3,02:14.9,,4
2025_GWNC,2025-09-06-R24,2025-09-06,1:42 PM,24,OPEN 500M QUALIFYING,Qualifying,500,5,,Paddlers Anonymous Squirtle Squad (DS),63,5,02:21.9,,4
2025_GWNC,2025-09-06-R24,2025-09-06,1:42 PM,24,OPEN 500M QUALIFYING,Qualifying,500,6,,Shaka 2.0,41,1,02:09.7,,4
2025_GWNC,2025-09-06-R25,2025-09-06,1:42 PM,25,MIXED 500M QUALIFYING,Qualifying,500,1,,Strength & Honour,77,4,03:07.4,,4
2025_GWNC,2025-09-06-R25,2025-09-06,1:54 PM,25,MIXED 500M QUALIFYING,Qualifying,500,2,,The Flamin’ Dragonflies,78,6,03:19.8,,4
2025_GWNC,2025-09-06-R25,2025-09-06,1:54 PM,25,MIXED 500M QUALIFYING,Qualifying,500,3,,True North Leviathan Orange,18,1,02:25.3,,4
2025_GWNC,2025-09-06-R25,2025-09-06,1:54 PM,25,MIXED 500M QUALIFYING,Qualifying,500,4,,Team Transplant,37,2,02:50.7,,4
2025_GWNC,2025-09-06-R25,2025-09-06,1:54 PM,25,MIXED 500M QUALIFYING,Qualifying,500,5,,Rowbots,76,3,02:58.7,,4
